label,ff48_dummies,sentiment_var,coef,se,t,p,n,n_quarters,adj_r2_avg
col2_FinNeg_prop_MDA,True,fin_neg_prop_mda,-0.213273115378749,0.06146047103560261,-3.470085923279125,0.0005202918941000778,48137,60,0.0242308993855413
col4_FinNeg_tfidf_MDA,True,fin_neg_tfidf_mda,-0.014695861738485142,0.004335646195199126,-3.3895435828592086,0.0007000907922272148,48137,60,0.025202173058557896
col2_FinNeg_prop_MDA,False,fin_neg_prop_mda,-0.22774605202044965,0.06194495683852425,-3.676587468034393,0.00023637483087135536,48137,60,0.017689283296461845
col4_FinNeg_tfidf_MDA,False,fin_neg_tfidf_mda,-0.015045663354884506,0.004611688945269612,-3.2625061085955127,0.001104317927948184,48137,60,0.01833103830788575
