variable,n,mean,median,std,min,max
Fin-Neg,50902,1.3633724433034806,1.340305838782285,0.512367822760878,0.37348337231959744,2.848531884916823
Fin-Pos,50902,0.6922021400450227,0.6773072319649195,0.20893832455558203,0.23682722586339205,1.3468658329853955
"Excess return [0,3] (%)",50902,-0.29962894016777697,-0.2500294925196933,6.200091661024263,-21.599343054755746,19.63166428585505
Size ($B),50902,2.227224315501973,0.31036584,6.820490596465588,0.0115202795,51.815607074549945
Book-to-market,50902,0.6015642911368002,0.5085445375205847,0.4261139467147916,0.04217059676241208,2.3321220715195397
"Turnover (pre, median)",50902,1.17731626350452,0.7373310996917324,1.2853432261559625,0.04013408683302647,7.152142836703358
1-yr pre-event FF alpha,50902,0.12622530376440963,0.07614446054882075,0.4733527554083938,-1.0204207596203048,1.9051489058502105
Institutional ownership,50683,0.4617206480957526,0.45075817973996285,0.2825641796520447,0.006447789181975424,1.0886603821901175
NASDAQ dummy,50902,0.5797218183961338,1.0,0.49360836531111546,0.0,1.0
